Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,Variant Image,Gift Card,SEO Title,SEO Description,Status
ghk-cu,GHK-Cu,"<p>Copper tripeptide stimulating collagen synthesis, activating hair follicles, and delivering powerful anti-aging and recovery effects.</p><p><strong>Purity:</strong> 99.90% (HPLC-verified) · <strong>Half-life:</strong> ~24h</p><p>Certificate of Analysis included with every order. COD available pan-India. For laboratory research use only — not for human consumption.</p>",Peptide Central,Recovery,"Recovery, research peptides, india, Skin / Hair / Recovery",TRUE,Size,50mg,ghk-cu-50mg,shopify,100,deny,manual,3999,7999,TRUE,FALSE,https://peptidecentral.in/images/vials/ghk-cu_50mg.webp,GHK-Cu 50mg research peptide India,https://peptidecentral.in/images/vials/ghk-cu_50mg.webp,FALSE,Buy GHK-Cu in India | 99.90% Pure | Peptide Central,"Buy GHK-Cu online in India. Copper tripeptide stimulating collagen synthesis, activating hair follicles, and delivering powerful COA included, COD available.",active
ghk-cu,,,,,,,,100mg,ghk-cu-100mg,shopify,100,deny,manual,4999,12999,TRUE,FALSE,,,https://peptidecentral.in/images/vials/ghk-cu_100mg.webp,,,,
klow-blend,Klow Blend,"<p>GHK-Cu + BPC-157 + TB4 + KPV all-in-one blend. Comprehensive recovery, anti-inflammatory and regenerative support.</p><p><strong>Purity:</strong> 99% (HPLC-verified) · <strong>Half-life:</strong> Combo</p><p>Certificate of Analysis included with every order. COD available pan-India. For laboratory research use only — not for human consumption.</p>",Peptide Central,Recovery,"Recovery, research peptides, india, Full Spectrum Recovery",TRUE,Size,80mg,klow-blend-80mg,shopify,100,deny,manual,6499,11999,TRUE,FALSE,https://peptidecentral.in/images/vials/klow_blend_80mg.webp,Klow Blend 80mg research peptide India,https://peptidecentral.in/images/vials/klow_blend_80mg.webp,FALSE,Buy Klow Blend in India | 99% Pure | Peptide Central,"Buy Klow Blend online in India. GHK-Cu + BPC-157 + TB4 + KPV all-in-one blend. Comprehensive recovery, anti-inflammatory and regener COA included, COD available.",active
tb-500,TB-500,"<p>Thymosin Beta-4 fragment. Accelerates muscle repair, reduces DOMS, promotes angiogenesis and systemic healing.</p><p><strong>Purity:</strong> 99.90% (HPLC-verified) · <strong>Half-life:</strong> ~24h</p><p>Certificate of Analysis included with every order. COD available pan-India. For laboratory research use only — not for human consumption.</p>",Peptide Central,Recovery,"Recovery, research peptides, india, Recovery Signaling",TRUE,Size,10mg,tb-500-10mg,shopify,100,deny,manual,4999,9999,TRUE,FALSE,https://peptidecentral.in/images/vials/tb-500_10mg.webp,TB-500 10mg research peptide India,https://peptidecentral.in/images/vials/tb-500_10mg.webp,FALSE,Buy TB-500 in India | 99.90% Pure | Peptide Central,"Buy TB-500 online in India. Thymosin Beta-4 fragment. Accelerates muscle repair, reduces DOMS, promotes angiogenesis and systemi COA included, COD available.",active
kpv,KPV,"<p>Alpha-MSH-derived tripeptide with potent anti-inflammatory effects. Researched for IBS, gut inflammation, and wound healing.</p><p><strong>Purity:</strong> 99% (HPLC-verified) · <strong>Half-life:</strong> ~2h</p><p>Certificate of Analysis included with every order. COD available pan-India. For laboratory research use only — not for human consumption.</p>",Peptide Central,Recovery,"Recovery, research peptides, india, Inflammation and IBS",TRUE,Size,10mg,kpv-10mg,shopify,100,deny,manual,3999,5999,TRUE,FALSE,https://peptidecentral.in/images/vials/kpv_10mg.webp,KPV 10mg research peptide India,https://peptidecentral.in/images/vials/kpv_10mg.webp,FALSE,Buy KPV in India | 99% Pure | Peptide Central,"Buy KPV online in India. Alpha-MSH-derived tripeptide with potent anti-inflammatory effects. Researched for IBS, gut inflamma COA included, COD available.",active
bpc-157,BPC-157,"<p>Powerful healing peptide for gut lining repair, tendon & ligament healing. Most versatile peptide available.</p><p><strong>Purity:</strong> 99.90% (HPLC-verified) · <strong>Half-life:</strong> ~4h</p><p>Certificate of Analysis included with every order. COD available pan-India. For laboratory research use only — not for human consumption.</p>",Peptide Central,Recovery,"Recovery, research peptides, india, Soft Tissue Research",TRUE,Size,10mg,bpc-157-10mg,shopify,100,deny,manual,3999,6999,TRUE,FALSE,https://peptidecentral.in/images/vials/bpc-157_10mg.webp,BPC-157 10mg research peptide India,https://peptidecentral.in/images/vials/bpc-157_10mg.webp,FALSE,Buy BPC-157 in India | 99.90% Pure | Peptide Central,"Buy BPC-157 online in India. Powerful healing peptide for gut lining repair, tendon & ligament healing. Most versatile peptide av COA included, COD available.",active
retatrutide,Reta,<p>Triple agonist (GIP/GLP-1/glucagon). Clinical trials show 17–24% body weight reduction. Most potent fat loss peptide available.</p><p><strong>Purity:</strong> 98% (HPLC-verified) · <strong>Half-life:</strong> ~6d</p><p>Certificate of Analysis included with every order. COD available pan-India. For laboratory research use only — not for human consumption.</p>,Peptide Central,Fat Loss,"Fat Loss, research peptides, india, Fat Loss / Body Recomposition",TRUE,Size,10mg,retatrutide-10mg,shopify,100,deny,manual,3799,7999,TRUE,FALSE,https://peptidecentral.in/images/vials/retatrutide_10mg.webp,Reta 10mg research peptide India,https://peptidecentral.in/images/vials/retatrutide_10mg.webp,FALSE,Buy Reta in India | 98% Pure | Peptide Central,"Buy Reta online in India. Triple agonist (GIP/GLP-1/glucagon). Clinical trials show 17–24% body weight reduction. Most potent  COA included, COD available.",active
retatrutide,,,,,,,,20mg,retatrutide-20mg,shopify,100,deny,manual,6499,12999,TRUE,FALSE,,,https://peptidecentral.in/images/vials/retatrutide_20mg.webp,,,,
retatrutide,,,,,,,,30mg,retatrutide-30mg,shopify,100,deny,manual,7999,15999,TRUE,FALSE,,,https://peptidecentral.in/images/vials/retatrutide_30mg.webp,,,,
tirzepatide,Tirzepatide,<p>Dual GIP/GLP-1 receptor agonist. Clinically proven for weight management and type 2 diabetes research.</p><p><strong>Purity:</strong> 98% (HPLC-verified) · <strong>Half-life:</strong> ~5d</p><p>Certificate of Analysis included with every order. COD available pan-India. For laboratory research use only — not for human consumption.</p>,Peptide Central,Fat Loss,"Fat Loss, research peptides, india, Appetite Suppression / Insulin Regulation",TRUE,Size,20mg,tirzepatide-20mg,shopify,100,deny,manual,3999,9999,TRUE,FALSE,https://peptidecentral.in/images/vials/tirzepatide_20mg.webp,Tirzepatide 20mg research peptide India,https://peptidecentral.in/images/vials/tirzepatide_20mg.webp,FALSE,Buy Tirzepatide in India | 98% Pure | Peptide Central,"Buy Tirzepatide online in India. Dual GIP/GLP-1 receptor agonist. Clinically proven for weight management and type 2 diabetes researc COA included, COD available.",active
tirzepatide,,,,,,,,30mg,tirzepatide-30mg,shopify,100,deny,manual,5999,16999,TRUE,FALSE,,,https://peptidecentral.in/images/vials/tirzepatide_30mg.webp,,,,
aod-9604,AOD-9604,<p>C-terminus fragment of HGH (177-191). Activates fat-burning lipolysis pathways without growth-promoting side effects.</p><p><strong>Purity:</strong> 99% (HPLC-verified) · <strong>Half-life:</strong> ~30m</p><p>Certificate of Analysis included with every order. COD available pan-India. For laboratory research use only — not for human consumption.</p>,Peptide Central,Fat Loss,"Fat Loss, research peptides, india, Lipolysis Research",TRUE,Size,5mg,aod-9604-5mg,shopify,100,deny,manual,3499,5999,TRUE,FALSE,https://peptidecentral.in/images/vials/aod-9604_5mg.webp,AOD-9604 5mg research peptide India,https://peptidecentral.in/images/vials/aod-9604_5mg.webp,FALSE,Buy AOD-9604 in India | 99% Pure | Peptide Central,"Buy AOD-9604 online in India. C-terminus fragment of HGH (177-191). Activates fat-burning lipolysis pathways without growth-promot COA included, COD available.",active
aod-9604,,,,,,,,10mg,aod-9604-10mg,shopify,100,deny,manual,5499,9999,TRUE,FALSE,,,https://peptidecentral.in/images/vials/aod-9604_10mg.webp,,,,
mots-c,MOTS-C,"<p>Mitochondrial-derived peptide activating AMPK, enhancing insulin sensitivity & metabolic flexibility. Researched for longevity.</p><p><strong>Purity:</strong> 99% (HPLC-verified) · <strong>Half-life:</strong> ~24h</p><p>Certificate of Analysis included with every order. COD available pan-India. For laboratory research use only — not for human consumption.</p>",Peptide Central,Fat Loss,"Fat Loss, research peptides, india, Energy Metabolism",TRUE,Size,10mg,mots-c-10mg,shopify,100,deny,manual,2999,4999,TRUE,FALSE,https://peptidecentral.in/images/vials/mots-c_10mg.webp,MOTS-C 10mg research peptide India,https://peptidecentral.in/images/vials/mots-c_10mg.webp,FALSE,Buy MOTS-C in India | 99% Pure | Peptide Central,"Buy MOTS-C online in India. Mitochondrial-derived peptide activating AMPK, enhancing insulin sensitivity & metabolic flexibility COA included, COD available.",active
